seed,final_equity,oos_wealth_x,n_bridges_admitted,n_skip_cap,n_degenerate,n_collision,n_forced_delev,worst_margin_to_equity,trip_maintenance,trip_drift,flag_low_admission
339,617423.58,1.848,676,194,0,761,5,0.7654,False,False,True
340,407886.15,1.381,664,206,0,709,4,0.7646,False,False,True
341,575269.04,1.575,672,198,0,705,6,0.7618,False,False,True
342,497262.27,1.59,673,197,0,751,2,0.766,False,False,True
343,405496.68,1.433,700,170,0,781,2,0.7641,False,False,True
344,486070.64,1.558,671,199,0,740,3,0.7659,False,False,True
345,637355.84,1.607,682,188,0,765,2,0.7643,False,False,True
346,560758.74,1.372,660,210,0,752,3,0.7623,False,False,True
347,471140.8,1.716,687,183,0,737,2,0.7658,False,False,True
348,371487.02,1.265,683,187,0,800,3,0.7661,False,False,True
349,669854.41,1.653,665,205,0,716,4,0.7663,False,False,True
350,562792.97,1.435,652,218,0,697,4,0.7578,False,False,True
351,691433.49,2.398,680,190,0,735,1,0.7651,False,False,True
352,703661.58,1.726,669,201,0,749,5,0.766,False,False,True
353,385172.62,1.591,698,172,0,708,2,0.7666,False,False,True
354,459315.06,1.953,672,198,0,778,0,0.7638,False,False,True
355,419736.61,1.44,665,205,0,740,3,0.7601,False,False,True
356,724908.1,1.591,675,195,0,686,5,0.7643,False,False,True
357,620681.17,1.858,696,174,0,744,3,0.763,False,False,True
358,562894.12,1.421,677,193,0,739,2,0.763,False,False,True
359,671273.18,1.655,666,204,0,726,1,0.7663,False,False,True
360,598954.62,1.442,666,204,0,705,2,0.7679,False,False,True
361,295184.18,0.793,657,213,0,785,7,0.7644,False,False,True
362,695792.32,2.17,697,173,0,772,5,0.765,False,False,True
363,551887.94,1.674,669,201,0,676,2,0.7667,False,False,True
364,383163.44,1.578,681,189,0,696,4,0.7551,False,False,True
365,774868.06,1.786,699,171,0,688,4,0.7669,False,False,True
366,481084.7,1.537,714,156,0,698,0,0.7657,False,False,True
367,746506.81,1.672,685,185,0,813,1,0.7623,False,False,True
368,399067.13,1.475,655,215,0,773,7,0.7633,False,False,True
369,491713.72,1.472,663,207,0,754,2,0.7643,False,False,True
370,687656.48,1.846,672,198,0,707,3,0.7632,False,False,True
371,745405.6,1.442,681,189,0,758,1,0.7652,False,False,True
372,540196.16,1.355,683,187,0,705,2,0.7642,False,False,True
373,384692.54,1.407,668,202,0,714,1,0.7663,False,False,True
374,543834.27,1.775,689,181,0,743,2,0.7662,False,False,True
375,534268.12,1.536,662,208,0,773,5,0.7603,False,False,True
376,646910.28,2.009,684,186,0,684,2,0.7665,False,False,True
377,504856.37,1.766,679,191,0,734,3,0.7667,False,False,True
378,430942.18,1.345,677,193,0,710,3,0.7645,False,False,True
379,515346.03,1.643,694,176,0,757,2,0.7616,False,False,True
380,454475.9,1.751,660,210,0,719,4,0.7663,False,False,True
381,510084.0,1.408,683,187,0,758,3,0.7647,False,False,True
382,376135.47,1.353,656,214,0,721,4,0.7641,False,False,True
383,549734.78,1.51,694,176,0,741,7,0.7654,False,False,True
384,953225.08,1.609,685,185,0,692,1,0.7662,False,False,True
385,450437.59,1.607,663,207,0,766,3,0.7632,False,False,True
386,891220.34,2.049,690,180,0,744,5,0.7636,False,False,True
387,717066.97,1.702,695,175,0,777,2,0.7654,False,False,True
388,625541.29,1.615,676,194,0,765,1,0.7673,False,False,True
389,467612.17,1.581,658,212,0,717,7,0.7541,False,False,True
390,562064.85,1.626,672,198,0,744,4,0.7652,False,False,True
391,516274.36,1.102,655,215,0,719,1,0.7668,False,False,True
392,667379.52,1.545,705,165,0,749,2,0.7673,False,False,True
393,543709.77,1.596,678,192,0,769,4,0.7558,False,False,True
394,570458.27,1.62,705,165,0,802,5,0.7643,False,False,True
395,823665.29,2.091,664,206,0,714,0,0.7633,False,False,True
396,452933.7,1.647,686,184,0,725,3,0.7674,False,False,True
397,546442.39,1.408,697,173,0,719,3,0.7584,False,False,True
398,520584.23,1.535,720,150,0,754,4,0.7645,False,False,True
399,661946.32,1.56,667,203,0,699,4,0.7645,False,False,True
400,469961.12,1.702,651,219,0,795,1,0.7641,False,False,True
401,454460.64,1.288,682,188,0,727,3,0.7617,False,False,True
402,554343.88,1.399,701,169,0,734,4,0.7659,False,False,True
403,491478.03,1.498,675,195,0,723,2,0.7657,False,False,True
404,480416.25,1.651,691,179,0,781,2,0.767,False,False,True
405,475289.25,1.407,681,189,0,718,2,0.7645,False,False,True
406,719946.48,2.154,682,188,0,692,4,0.7639,False,False,True
407,407623.63,1.278,689,181,0,768,4,0.7646,False,False,True
408,642587.81,1.279,673,197,0,747,6,0.762,False,False,True
409,319445.18,0.983,685,185,0,814,2,0.7597,False,False,True
410,1257686.15,2.221,696,174,0,680,0,0.7686,False,False,True
411,682303.77,1.885,693,177,0,795,3,0.764,False,False,True
412,345486.36,1.71,697,173,0,779,1,0.7585,False,False,True
413,723105.88,1.778,680,190,0,747,4,0.7644,False,False,True
414,562382.69,1.425,667,203,0,753,5,0.7655,False,False,True
415,858706.93,1.888,696,174,0,719,2,0.7654,False,False,True
416,472153.93,1.416,653,217,0,779,2,0.7639,False,False,True
417,388065.58,1.331,654,216,0,723,3,0.7634,False,False,True
418,552391.46,1.536,662,208,0,724,2,0.7615,False,False,True
419,647816.9,1.974,690,180,0,750,5,0.7635,False,False,True
420,429121.4,1.124,657,213,0,748,5,0.7533,False,False,True
421,455137.59,1.463,673,197,0,744,4,0.7664,False,False,True
422,336967.75,1.213,676,194,0,758,3,0.7627,False,False,True
423,630349.53,1.584,675,195,0,745,3,0.7652,False,False,True
