cell,month,X_bps,Z_bench_bps,REV_bench_bps,d1_d10_bps,crisis
AREA_EP_f21,2019-05,393.1274644495615,417.10768254400887,664.9894631827159,741.2270958414166,False
AREA_EP_f21,2019-06,-8.985040395809476,-43.2242350380577,45.00443114577899,10.856515590895697,False
AREA_EP_f21,2019-07,-89.6662539179595,55.267971217913896,-512.0545815453205,-58.64721193991639,False
AREA_EP_f21,2019-08,263.42264119127145,229.03968893458685,376.63679574204446,304.52105664146194,False
AREA_EP_f21,2019-09,-18.749372899417374,152.41644775304937,101.63688339741239,7.859841666185575,False
AREA_EP_f21,2019-10,-97.19635528207395,-202.09214476263094,0.11458916366207522,-126.90698874886652,False
AREA_EP_f21,2019-11,135.46290476287248,90.22250595143652,143.39755496366547,169.52061569554294,False
AREA_EP_f21,2019-12,261.39756086970976,176.0293167608669,221.88479846692863,281.5134442505035,False
AREA_EP_f21,2020-01,-222.18105958971086,-250.82450585781484,-450.7118318714383,-428.8980317663095,False
AREA_EP_f21,2020-02,-741.568894264428,-203.38601153982754,-1527.70352084699,-1482.0699508594096,True
AREA_EP_f21,2020-03,1484.540146369645,565.7668183999504,1698.6983536995253,1872.0386700586403,True
AREA_EP_f21,2020-04,23.28879389751383,16.617144338990226,-176.3832792581558,20.066146307341285,True
AREA_EP_f21,2020-05,423.66843581103564,469.2833763920127,655.8429743016136,470.11083705206636,True
AREA_EP_f21,2020-06,-68.6762357781493,-223.62292570014083,22.148411017946167,-293.281387478206,True
AREA_EP_f21,2020-07,122.23018013109072,71.9911721310721,86.37222836441042,191.80109769181942,False
AREA_EP_f21,2020-08,62.08842321294525,30.957064619599286,-40.22313163599522,8.640218998855302,False
AREA_EP_f21,2020-09,-145.3983035712282,-320.11019401014784,-258.0501176481385,-204.89755839112587,False
AREA_EP_f21,2020-10,59.0656224779143,-494.67741362586247,470.32410502058696,190.02820000394965,False
AREA_EP_f21,2020-11,-259.0071241076302,-274.09159781441286,-187.5374194275867,-311.0595521183998,False
AREA_EP_f21,2020-12,-27.96827015706877,185.01524631911002,10.658939217634694,42.84218637416062,False
AREA_EP_f21,2021-01,-403.7408543562842,-163.02285805741363,473.82447212766675,-4.543328590325066,False
AREA_EP_f21,2021-02,223.27910780599208,167.01566734975893,344.0783763220854,422.37682432391364,False
AREA_EP_f21,2021-03,-186.14889056913302,-161.2173158666868,-217.88096481567823,-184.3767947710271,False
AREA_EP_f21,2021-04,-48.23669629921621,-193.8731564864633,162.84446141575802,-84.40036995499143,False
AREA_EP_f21,2021-05,201.11998110958643,177.28312093851454,424.3005800614542,158.62861284227355,False
AREA_EP_f21,2021-06,-285.8668732772645,-168.46895613897217,-538.2556356041147,-475.5015034390808,False
AREA_EP_f21,2021-07,-33.842806807505426,-100.23263427516707,-45.06495318049218,-59.14783860088188,False
AREA_EP_f21,2021-08,190.72217660794425,-17.76831723025972,291.84299995692027,204.94778849278532,False
AREA_EP_f21,2021-09,29.95346235723069,133.2178017976927,-3.921021153065196,59.273036213577726,False
AREA_EP_f21,2021-10,-365.4274020817447,-231.5248358404764,-401.0561491505225,-505.74118690923916,False
AREA_EP_f21,2021-11,167.71461882522988,264.02250613156974,20.25225314266535,459.8911286239861,False
AREA_EP_f21,2021-12,7.19216249837909,31.026461847529358,-399.42965641075864,18.928478636866668,False
AREA_EP_f21,2022-01,-31.856633038056284,42.2451759417666,80.53013943682915,-183.15925482304357,True
AREA_EP_f21,2022-02,-21.09198026767789,105.76046145083743,19.856150870515634,-44.38075970094303,True
AREA_EP_f21,2022-03,89.99347495016991,105.8694678996168,103.12041100171636,97.82304198303297,True
AREA_EP_f21,2022-04,197.59161142375638,-30.439682520820828,90.66345448393446,199.60476591779317,True
AREA_EP_f21,2022-05,7.034139634385372,310.3784426216041,-287.2086169330626,29.915214416925128,True
AREA_EP_f21,2022-06,19.39263448515638,3.1986437311851135,88.16713569614582,412.5525493476367,True
AREA_EP_f21,2022-07,30.898587881330197,23.883144273370313,88.5701585631462,28.097995026260833,True
AREA_EP_f21,2022-08,43.495162990570826,-26.589792678571726,-314.53224351135816,-116.19194158046409,True
AREA_EP_f21,2022-09,-347.5081749633865,-316.24809168009193,-166.675485343193,-622.139986084064,True
AREA_EP_f21,2022-10,9.779358932774096,30.45658906537907,-58.08993661160514,21.924952131934933,True
AREA_EP_f21,2022-11,-121.45136064299066,-175.7040781769034,-273.2678325414051,-134.9459562699895,True
AREA_EP_f21,2022-12,237.71249626654986,356.20155377418973,1126.1803686148687,422.00166257827976,True
AREA_EP_f21,2023-01,17.902391622573628,-85.49392113427746,-10.05095268839285,-13.01269160499087,False
AREA_EP_f21,2023-02,-53.8829909927814,-79.99627017016279,-152.43244262174673,-176.70222823635274,False
AREA_EP_f21,2023-03,-431.30215283449326,-489.96989496113605,-586.1995569399206,-482.62257392445684,False
AREA_EP_f21,2023-04,424.8680811886636,240.881326257006,462.1847371447649,468.19629689005643,False
AREA_EP_f21,2023-05,-207.1358313561631,-210.1209905260302,-32.85940654564195,-268.24361304038916,False
AREA_EP_f21,2023-06,258.5928690918447,70.74288943126838,117.74226569947109,290.7883407218604,False
AREA_EP_f21,2023-07,-50.688202442460835,-63.021465549904924,-71.55521153679886,-32.746612296887456,False
AREA_EP_f21,2023-08,-196.48871040312932,34.31764333201519,-104.98643904933644,-208.48302459638367,False
AREA_EP_f21,2023-09,-234.5281520240869,76.53772889085066,-410.15459364152184,-434.92078439796654,False
AREA_EP_f21,2023-10,157.4615749042517,-51.870054322523394,406.2652649303493,288.05384634685265,False
AREA_EP_f21,2023-11,-235.1103311918807,-191.520547670447,-20.272834208286405,-263.48301400788887,False
AREA_EP_f21,2023-12,119.83016694988954,45.156288156355764,4.307212430828154,142.98942894424593,False
