arm,null,seed,final_equity
ADDS_LEAN_SIZER,N1,32,691182.59
ADDS_LEAN_SIZER,N1,33,572871.31
ADDS_LEAN_SIZER,N1,34,799857.57
ADDS_LEAN_SIZER,N1,35,673423.87
ADDS_LEAN_SIZER,N1,36,439237.83
ADDS_LEAN_SIZER,N1,37,573654.53
ADDS_LEAN_SIZER,N1,38,595930.56
ADDS_LEAN_SIZER,N1,39,589876.66
ADDS_LEAN_SIZER,N1,40,684863.51
ADDS_LEAN_SIZER,N1,41,553559.28
ADDS_LEAN_SIZER,N1,42,458182.97
ADDS_LEAN_SIZER,N1,43,383790.93
ADDS_LEAN_SIZER,N1,44,768761.85
ADDS_LEAN_SIZER,N1,45,590558.12
ADDS_LEAN_SIZER,N1,46,574711.77
ADDS_LEAN_SIZER,N1,47,444375.3
ADDS_LEAN_SIZER,N1,48,778205.29
ADDS_LEAN_SIZER,N1,49,715996.17
ADDS_LEAN_SIZER,N1,50,671753.7
ADDS_LEAN_SIZER,N1,51,519486.77
ADDS_LEAN_SIZER,N1,52,923482.64
ADDS_LEAN_SIZER,N1,53,578842.38
ADDS_LEAN_SIZER,N1,54,656246.22
ADDS_LEAN_SIZER,N1,55,572781.67
ADDS_LEAN_SIZER,N1,56,611516.24
ADDS_LEAN_SIZER,N1,57,526658.92
ADDS_LEAN_SIZER,N1,58,369280.5
ADDS_LEAN_SIZER,N1,59,525979.84
ADDS_LEAN_SIZER,N1,60,643220.31
ADDS_LEAN_SIZER,N1,61,657201.38
ADDS_LEAN_SIZER,N1,62,613623.82
ADDS_LEAN_SIZER,N1,63,642704.57
ADDS_LEAN_SIZER,N1,64,531325.23
ADDS_LEAN_SIZER,N1,65,612709.43
ADDS_LEAN_SIZER,N1,66,507618.31
ADDS_LEAN_SIZER,N1,67,475577.19
ADDS_LEAN_SIZER,N1,68,674656.18
ADDS_LEAN_SIZER,N1,69,516708.17
ADDS_LEAN_SIZER,N1,70,785875.89
ADDS_LEAN_SIZER,N1,71,814520.89
ADDS_LEAN_SIZER,N1,72,607336.84
ADDS_LEAN_SIZER,N1,73,488168.05
ADDS_LEAN_SIZER,N1,74,742017.1
ADDS_LEAN_SIZER,N1,75,508614.25
ADDS_LEAN_SIZER,N1,76,436251.87
ADDS_LEAN_SIZER,N1,77,607675.19
ADDS_LEAN_SIZER,N1,78,441471.69
ADDS_LEAN_SIZER,N1,79,527964.17
ADDS_LEAN_SIZER,N1,80,623261.87
ADDS_LEAN_SIZER,N1,81,590142.76
ADDS_LEAN_SIZER,N1,82,502246.11
ADDS_LEAN_SIZER,N1,83,601017.77
ADDS_LEAN_SIZER,N1,84,544453.14
ADDS_LEAN_SIZER,N1,85,548665.88
ADDS_LEAN_SIZER,N1,86,624015.39
ADDS_LEAN_SIZER,N1,87,721522.75
ADDS_LEAN_SIZER,N1,88,501729.91
ADDS_LEAN_SIZER,N1,89,536164.57
ADDS_LEAN_SIZER,N1,90,923992.62
ADDS_LEAN_SIZER,N1,91,606875.91
ADDS_LEAN_SIZER,N1,92,507859.78
ADDS_LEAN_SIZER,N1,93,377473.99
ADDS_LEAN_SIZER,N1,94,839204.22
ADDS_LEAN_SIZER,N1,95,847792.01
ADDS_LEAN_SIZER,N1,96,772455.51
ADDS_LEAN_SIZER,N1,97,530011.19
ADDS_LEAN_SIZER,N1,98,578199.26
ADDS_LEAN_SIZER,N1,99,640535.53
ADDS_LEAN_SIZER,N1,100,562229.12
ADDS_LEAN_SIZER,N1,101,662625.49
ADDS_LEAN_SIZER,N1,102,533653.76
ADDS_LEAN_SIZER,N1,103,357642.91
ADDS_LEAN_SIZER,N1,104,516499.57
ADDS_LEAN_SIZER,N1,105,492632.26
ADDS_LEAN_SIZER,N1,106,485378.27
ADDS_LEAN_SIZER,N1,107,440822.94
ADDS_LEAN_SIZER,N1,108,628471.74
ADDS_LEAN_SIZER,N1,109,614997.13
ADDS_LEAN_SIZER,N1,110,528614.51
ADDS_LEAN_SIZER,N1,111,363209.28
ADDS_LEAN_SIZER,N1,112,682745.06
ADDS_LEAN_SIZER,N1,113,593377.99
ADDS_LEAN_SIZER,N1,114,629721.97
ADDS_LEAN_SIZER,N1,115,542712.01
ADDS_LEAN_SIZER,N1,116,596479.69
ADDS_LEAN_SIZER,N1,117,619837.45
ADDS_LEAN_SIZER,N1,118,546994.05
ADDS_LEAN_SIZER,N1,119,446767.59
ADDS_LEAN_SIZER,N1,120,724319.38
ADDS_LEAN_SIZER,N1,121,606638.48
ADDS_LEAN_SIZER,N1,122,485329.46
ADDS_LEAN_SIZER,N1,123,506491.36
ADDS_LEAN_SIZER,N1,124,512987.58
ADDS_LEAN_SIZER,N1,125,705033.53
ADDS_LEAN_SIZER,N1,126,611578.44
ADDS_LEAN_SIZER,N1,127,618771.51
ADDS_LEAN_SIZER,N1,128,749499.01
ADDS_LEAN_SIZER,N1,129,450934.68
ADDS_LEAN_SIZER,N1,130,996529.52
ADDS_LEAN_SIZER,N1,131,546749.82
ADDS_LEAN_SIZER,N1,132,926077.6
ADDS_LEAN_SIZER,N1,133,573994.95
ADDS_LEAN_SIZER,N1,134,502487.95
ADDS_LEAN_SIZER,N1,135,388304.07
ADDS_LEAN_SIZER,N1,136,705265.24
ADDS_LEAN_SIZER,N1,137,580664.82
ADDS_LEAN_SIZER,N1,138,638903.18
ADDS_LEAN_SIZER,N1,139,609452.87
ADDS_LEAN_SIZER,N1,140,862111.59
ADDS_LEAN_SIZER,N1,141,721103.79
ADDS_LEAN_SIZER,N1,142,495853.48
ADDS_LEAN_SIZER,N1,143,445251.39
ADDS_LEAN_SIZER,N1,144,388464.87
ADDS_LEAN_SIZER,N1,145,652607.01
ADDS_LEAN_SIZER,N1,146,513122.85
ADDS_LEAN_SIZER,N1,147,777657.68
ADDS_LEAN_SIZER,N1,148,596899.28
ADDS_LEAN_SIZER,N1,149,406480.72
ADDS_LEAN_SIZER,N1,150,776426.55
ADDS_LEAN_SIZER,N1,151,529434.6
ADDS_LEAN_SIZER,N1,152,509253.81
ADDS_LEAN_SIZER,N1,153,474506.18
ADDS_LEAN_SIZER,N1,154,629532.82
ADDS_LEAN_SIZER,N1,155,561544.37
ADDS_LEAN_SIZER,N1,156,747159.22
