run,date,equity,n_pos
ALL_EW_ALL,2021-11-03,211766.57,223
ALL_EW_ALL,2021-11-04,210620.24,227
ALL_EW_ALL,2021-11-05,212747.18,210
ALL_EW_ALL,2021-11-08,212801.0,222
ALL_EW_ALL,2021-11-09,212589.1,206
ALL_EW_ALL,2021-11-10,211602.08,204
ALL_EW_ALL,2021-11-11,212116.68,187
ALL_EW_ALL,2021-11-12,213010.66,189
ALL_EW_ALL,2021-11-15,213195.33,194
ALL_EW_ALL,2021-11-16,213126.43,191
ALL_EW_ALL,2021-11-17,211831.82,193
ALL_EW_ALL,2021-11-18,210646.61,183
ALL_EW_ALL,2021-11-19,209034.72,177
ALL_EW_ALL,2021-11-22,209512.8,175
ALL_EW_ALL,2021-11-23,209881.2,171
ALL_EW_ALL,2021-11-24,209956.08,182
ALL_EW_ALL,2021-11-26,205328.76,180
ALL_EW_ALL,2021-11-29,206075.38,174
ALL_EW_ALL,2021-11-30,200582.15,189
ALL_EW_ALL,2021-12-01,197978.45,184
ALL_EW_ALL,2021-12-02,202772.66,180
ALL_EW_ALL,2021-12-03,202356.16,186
ALL_EW_ALL,2021-12-06,205817.1,195
ALL_EW_ALL,2021-12-07,208321.21,222
ALL_EW_ALL,2021-12-08,208764.5,290
ALL_EW_ALL,2021-12-09,207304.47,308
ALL_EW_ALL,2021-12-10,208471.58,303
