ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
TSCO,2023-07-27,43.526,60966.17,1.4375,-0.07591,2023-06-13,2023-08-07,44.462,0.0153,1665.89
ORCL,2023-07-28,116.68,61557.39,1.4375,-0.07591,2023-07-17,2023-11-28,116.0,-0.0141,-1355.64
AMD,2023-08-10,111.3,56997.4,1.375,-0.0763,2023-08-07,2023-11-28,121.98,0.0747,7492.49
CMCSA,2023-09-21,45.67,52411.26,1.3125,-0.0755,2023-09-19,2023-12-21,44.22,-0.0318,-2861.2
C,2023-11-01,39.54,48419.14,1.375,-0.0748,2023-07-19,2023-11-07,41.7,-0.0254,-2226.05
WBA,2023-12-06,20.58,40095.85,1.375,-0.07215,2023-12-05,2024-01-04,24.19,0.1698,14317.03
PFE,2023-12-21,27.86,66859.64,1.4375,-0.0709,2023-12-01,2024-01-05,29.02,0.0249,2857.03
T,2023-12-27,16.49,16607.27,1.375,-0.07215,2023-12-20,2024-01-09,16.97,0.0244,1612.55
HPQ,2024-01-10,30.16,64201.63,1.375,-0.07202,2024-01-09,2024-03-18,30.39,-0.0008,16.71
PYPL,2024-01-11,60.65,31250.01,1.375,-0.07202,2024-01-09,2024-01-23,64.525,0.0667,5292.19
AAL,2024-01-23,14.135,64031.66,1.375,-0.07202,2024-01-09,2024-01-31,14.49,0.0129,1542.82
DAL,2024-01-25,39.05,19265.56,1.375,-0.07202,2024-01-09,2024-03-25,45.48,0.1167,7783.85
EXC,2024-01-31,35.225,64911.25,1.375,-0.07202,2024-01-09,2024-02-27,35.88,0.003,449.2
MRO,2024-02-13,22.57,63253.59,1.375,-0.07174,2023-12-22,2024-02-29,24.23,0.0298,3402.56
BA,2024-03-01,204.0,64987.08,1.375,-0.07006,2024-02-29,2024-12-06,157.03,-0.2348,-26176.67
PARA,2024-03-15,11.26,64479.03,1.375,-0.07006,2024-02-01,2024-03-22,11.84,-0.0575,-6292.16
WMT,2024-04-12,60.0,50971.1,1.4375,-0.06964,2024-04-11,2024-06-13,66.3,0.0974,9644.49
SBUX,2024-05-13,76.22,29082.77,0.625,-0.14782,2024-04-02,2024-06-10,81.49,-0.042,-3233.85
INTC,2024-06-03,31.03,68750.54,1.4375,-0.06994,2024-03-28,2024-07-12,33.77,-0.0456,-5293.19
MDT,2024-06-11,83.04,70396.85,1.4375,-0.06994,2024-06-10,2024-07-19,81.58,-0.0218,-2489.86
NEE,2024-07-24,72.73,69652.7,1.375,-0.06818,2024-07-23,2024-08-06,76.85,0.0574,7029.37
MCHP,2024-08-01,87.5,38601.99,1.5,-0.06589,2024-07-23,2025-02-28,57.16,-0.3646,-32446.18
XOM,2024-08-29,117.2,78969.06,1.5,-0.06589,2024-08-27,2024-10-16,120.89,0.0243,3343.56
TSLA,2024-09-09,216.2,77164.42,1.5,-0.06771,2024-08-19,2024-09-23,242.61,0.1192,15673.08
NKE,2024-10-15,81.05,81296.15,1.5,-0.06747,2024-09-23,2025-02-03,74.9,-0.0954,-12690.41
PFE,2024-11-26,26.16,78785.04,1.5,-0.06665,2024-10-16,2024-12-27,26.43,-0.0372,-4815.93
CCL,2024-12-27,25.41,76954.61,1.5,-0.06663,2024-12-23,2025-02-04,27.18,0.0507,6631.01
GILD,2025-01-17,92.01,75948.5,1.5,-0.06675,2024-12-06,2025-02-10,96.04,0.036,4728.47
XOM,2025-02-10,110.005,77310.95,1.5,-0.06384,2025-02-05,2025-06-25,108.11,-0.0173,-2108.82
FCX,2025-02-12,37.67,76789.02,1.5,-0.06384,2025-02-10,2025-02-18,39.48,0.0339,4482.7
F,2025-02-18,9.32,78532.07,1.5,-0.06384,2025-02-05,2025-05-08,10.34,0.0717,9518.07
KEY,2025-03-03,17.35,79620.48,1.5,-0.06379,2025-02-05,2025-05-08,15.405,-0.1266,-16592.94
MU,2025-03-14,98.75,36343.45,1.5,-0.06379,2025-03-13,2025-05-06,79.04,-0.1781,-15446.27
NEM,2025-05-21,52.67,29750.01,1.5,-0.06778,2025-05-12,2025-06-23,58.36,0.1296,10601.22
WMB,2025-07-15,58.8,86622.67,1.5,-0.06656,2025-06-23,2025-09-23,60.18,0.009,1417.44
CRM,2025-07-21,263.62,29475.67,1.5,-0.06656,2025-06-25,2025-10-24,257.42,-0.044,-3628.46
PYPL,2025-09-23,67.805,89199.47,1.5,-0.06733,2025-09-18,2025-10-13,70.72,0.0285,4372.02
NOW,2025-10-14,181.47,89641.42,1.5,-0.06582,2025-06-27,,153.19,-0.1904,-27587.9
VZ,2025-10-21,40.63,91641.76,1.5,-0.06582,2025-10-01,2025-11-18,41.03,-0.0206,-2954.94
VICI,2025-12-17,27.9,84417.85,1.4375,-0.06657,2025-12-16,,28.12,-0.0034,-345.48
T,2025-12-24,24.37,38387.18,1.4375,-0.06657,2025-11-13,,24.84,-0.0125,-1121.27
