variant,ticker,entry_date,days,last_date,exit_date,exit_reason,trade_ret
SCORE_R,ALXN,2017-12-11,18,2018-01-04,2018-01-05,rollback,0.08645330995177569
SCORE_R,FCX,2017-10-03,69,2018-01-09,2018-01-10,rollback,0.3224687933425805
SCORE_R,WU,2017-12-20,19,2018-01-17,2018-01-18,rollback,0.029546612328069655
SCORE_R,COP,2017-12-04,37,2018-01-25,2018-01-26,rollback,0.15095430884904615
SCORE_R,VRSN,2018-01-18,8,2018-01-26,2018-01-29,rollback,0.007012008063809194
SCORE_R,MGM,2018-01-10,16,2018-01-31,2018-02-01,rollback,0.09120813397129202
SCORE_R,CA,2017-07-25,134,2018-02-01,2018-02-02,rollback,-0.008043665613330031
SCORE_R,KO,2018-01-05,20,2018-02-01,2018-02-02,rollback,0.02890047805302065
SCORE_R,CTSH,2018-01-05,20,2018-02-01,2018-02-02,rollback,0.036930652441525824
SCORE_R,SLG,2018-01-29,5,2018-02-01,2018-02-02,rollback,0.00929704425751865
SCORE_R,SWKS,2018-02-02,5,2018-02-07,2018-02-08,rollback,-0.0075283535393040335
SCORE_R,TRIP,2017-11-24,54,2018-02-09,2018-02-12,rollback,0.12862584236741803
SCORE_R,AFL,2017-12-29,36,2018-02-20,2018-02-21,rollback,0.0054353980296679705
SCORE_R,DTE,2018-01-26,18,2018-02-20,2018-02-21,rollback,-0.02669055927567665
SCORE_R,CME,2018-02-07,12,2018-02-22,2018-02-23,rollback,0.015945043171361695
SCORE_R,PSA,2017-10-05,100,2018-02-27,2018-02-28,rollback,-0.09645237984243149
SCORE_R,MOS,2018-02-21,6,2018-02-27,2018-02-28,rollback,-0.023973846712676994
SCORE_R,AXP,2018-02-02,19,2018-02-28,2018-03-01,rollback,-0.0171807495227565
SCORE_R,SRE,2018-02-23,5,2018-02-28,2018-03-01,rollback,0.020583832335329344
SCORE_R,BBY,2018-03-01,3,2018-03-02,2018-03-05,rollback,-0.021356615177971938
SCORE_R,PCG,2018-03-01,6,2018-03-07,2018-03-08,rollback,0.0012168410805544205
SCORE_R,BDX,2018-02-28,10,2018-03-12,2018-03-13,rollback,0.007412010119390855
SCORE_R,EXR,2017-12-11,65,2018-03-14,2018-03-15,rollback,-0.002437891804039638
SCORE_R,SCHW,2018-02-02,29,2018-03-14,2018-03-15,rollback,0.02867579908675788
SCORE_R,MDT,2018-03-08,6,2018-03-14,2018-03-15,rollback,0.01303332103774757
SCORE_R,WEC,2018-02-01,33,2018-03-19,2018-03-20,rollback,-0.033863920099875044
SCORE_R,AGN,2018-03-13,7,2018-03-20,2018-03-21,rollback,0.028959105471449087
SCORE_R,MCHP,2018-02-28,18,2018-03-22,2018-03-23,rollback,0.0814135540147618
SCORE_R,MRO,2018-03-21,3,2018-03-22,2018-03-23,rollback,0.03250975292587799
SCORE_R,NEM,2018-03-26,3,2018-03-27,2018-03-28,rollback,-0.008173690932311573
SCORE_R,HRS,2018-03-26,4,2018-03-28,2018-03-29,rollback,0.007114524963797386
SCORE_R,MRK,2018-03-29,10,2018-04-11,2018-04-12,rollback,0.02239884393063596
SCORE_R,MAT,2018-02-12,46,2018-04-17,2018-04-18,rollback,-0.15946261682242946
SCORE_R,DISCK,2018-03-05,33,2018-04-18,2018-04-19,rollback,-0.055217391304347996
SCORE_R,SO,2018-03-15,25,2018-04-18,2018-04-19,rollback,0.03068181818181892
SCORE_R,NFLX,2018-04-12,9,2018-04-23,2018-04-24,rollback,0.03066650738249832
SCORE_R,KIM,2018-02-21,49,2018-04-30,2018-05-01,rollback,-0.047868852459017286
SCORE_R,M,2018-04-19,9,2018-04-30,2018-05-01,rollback,0.05578370978781688
SCORE_R,PPL,2018-03-28,25,2018-05-01,2018-05-02,rollback,0.02750982493747811
