ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
EBAY,2021-05-12,59.69,30366.53,1.0,-0.0673,2021-05-11,2021-06-15,66.0,0.1013,6219.34
BMY,2021-05-17,64.84,30827.49,1.0,-0.0673,2021-05-14,2021-05-26,66.72,0.0251,1604.92
GILD,2021-06-08,67.44,33352.4,1.0,-0.06649,2021-06-07,2021-08-20,71.67,0.0604,4096.11
VZ,2021-08-13,55.7,34114.55,1.0,-0.06199,2021-07-08,2021-12-30,52.38,-0.061,-4015.92
ORLY,2021-09-14,39.1813,34403.46,1.0,-0.05973,2021-08-23,2021-09-29,40.9773,0.03,2129.63
INTC,2021-11-10,50.975,34965.83,1.0,-0.05791,2021-11-09,2021-12-09,51.3,-0.0002,57.81
MDT,2021-12-09,111.96,33994.76,1.0,-0.05847,2021-11-11,2022-01-19,107.39,-0.0833,-5695.03
T,2021-12-09,23.03,33993.06,1.0,-0.07212,2021-09-30,2022-01-24,26.19,0.0435,3047.22
GPS,2022-01-27,17.86,35094.95,1.0,-0.05839,2022-01-26,2022-02-02,18.46,0.032,2326.56
VIAC,2022-02-02,33.53,36029.9,1.0,-0.06121,2021-12-31,2022-02-16,29.58,-0.0856,-5979.99
XEL,2022-02-02,68.15,36028.1,1.0,-0.06121,2022-01-28,2022-03-15,70.11,0.0409,2960.19
NKE,2022-02-22,141.59,34760.97,1.0,-0.06121,2021-12-30,2022-04-01,134.45,-0.1264,-8682.15
HST,2022-03-14,18.21,34654.45,1.0,-0.0625,2022-03-11,2022-03-22,18.47,0.0061,494.54
PG,2022-03-16,150.625,35240.02,1.0,-0.0625,2022-02-18,2022-04-01,153.52,-0.0099,-626.07
CVS,2022-04-12,104.4,36445.61,1.0,-0.06161,2022-04-11,2022-07-21,92.52,-0.1229,-8903.99
BKR,2022-04-13,36.87,36610.43,1.0,-0.06161,2022-04-11,2022-06-01,36.53,-0.0082,-526.69
HPE,2022-05-19,15.37,34150.49,1.0,-0.06572,2022-05-10,2022-07-25,13.89,-0.1149,-7776.73
ATVI,2022-06-02,77.5,35245.01,1.0,-0.07002,2022-03-30,2023-02-22,77.28,-0.0229,-1582.28
FCX,2022-07-25,28.54,35171.85,1.0,-0.07207,2022-07-21,2022-08-02,29.63,0.0381,2732.68
MSFT,2022-07-25,260.995,35170.1,1.0,-0.07207,2022-07-21,2022-08-19,288.9,0.1084,7650.86
AAL,2022-08-03,14.2,35447.92,1.0,-0.06778,2022-08-02,2022-10-21,13.36,-0.055,-3883.84
GILD,2022-09-07,63.67,35755.22,1.0,-0.06768,2022-09-02,2022-09-14,64.41,-0.0001,65.52
PYPL,2022-10-31,85.51,36986.46,1.0,-0.0742,2022-09-15,2023-06-22,67.52,-0.2507,-18347.6
MU,2022-11-04,55.26,35235.65,1.0,-0.07521,2022-08-19,2022-11-17,57.3,-0.0209,-1443.42
AMZN,2022-11-11,97.88,37336.94,1.0,-0.0831,2022-10-21,2023-01-19,94.74,-0.1027,-7432.5
EQT,2022-12-16,37.24,34040.29,1.0,-0.07495,2022-11-07,2023-05-22,35.46,-0.1096,-7559.77
APA,2023-03-08,38.8799,35471.63,1.0,-0.07222,2023-01-20,2023-04-05,37.89,-0.0918,-6486.19
KEY,2023-05-22,9.92,34139.17,1.0,-0.07704,2023-04-14,2023-06-09,10.98,-0.0118,-746.14
INTC,2023-05-24,29.31,33988.45,1.0,-0.07704,2023-05-22,2023-06-22,32.69,0.1041,7163.85
MO,2023-06-28,44.16,37698.21,1.0,-0.07599,2023-04-14,2023-09-14,43.82,-0.0191,-1316.7
KO,2023-07-07,60.31,38075.6,1.0,-0.07591,2023-06-16,2023-07-26,61.86,0.0138,1142.77
T,2023-07-26,14.91,39280.67,1.0,-0.07591,2023-06-28,2023-09-19,15.06,-0.0191,-1392.38
ORCL,2023-07-28,116.68,39230.12,1.0,-0.07591,2023-07-17,2023-11-28,116.0,-0.0158,-1150.73
KMI,2023-09-19,17.13,37124.55,1.0,-0.0755,2023-09-14,2023-10-20,17.04,-0.0123,-843.93
CMG,2023-10-23,36.406,34770.96,1.0,-0.07484,2023-06-22,2023-11-28,44.2,0.137,10011.07
CMCSA,2023-11-07,42.45,37078.12,1.0,-0.0748,2023-09-19,2023-12-21,44.22,0.005,446.04
WBA,2023-12-06,20.58,39179.1,1.0,-0.07215,2023-12-05,2024-01-04,24.19,0.17,13435.85
PFE,2023-12-21,27.86,42236.94,1.0,-0.0709,2023-12-01,2024-01-05,29.02,0.0215,1825.02
HPQ,2024-01-10,30.16,42450.21,1.0,-0.07202,2024-01-09,2024-03-18,30.39,-0.0022,-105.65
AAL,2024-01-23,14.135,41719.88,1.0,-0.07202,2024-01-09,2024-01-31,14.49,0.0107,988.67
DAL,2024-01-25,39.05,42270.21,1.0,-0.07202,2024-01-09,2024-03-25,45.48,0.1304,11145.92
EXC,2024-01-31,35.225,42353.96,1.0,-0.07202,2024-01-09,2024-02-27,35.88,0.0002,99.56
CCL,2024-02-29,15.52,43004.54,1.0,-0.07174,2024-02-28,2024-06-07,16.44,0.0515,4513.79
AMZN,2024-03-19,174.215,44725.79,1.0,-0.07006,2024-03-13,2024-04-11,186.74,0.0657,5983.61
CSCO,2024-04-11,49.32,45317.4,1.0,-0.06964,2024-04-10,2024-05-17,48.26,-0.0265,-2310.89
HST,2024-06-06,18.03,47051.44,1.0,-0.06994,2024-05-17,2024-07-19,17.79,-0.0359,-3248.05
INTC,2024-06-07,30.25,46569.15,1.0,-0.06994,2024-05-17,2024-07-12,33.77,0.084,7859.92
MDT,2024-06-11,83.04,46648.81,1.0,-0.06994,2024-06-10,2024-07-19,81.58,-0.0225,-2006.61
NEE,2024-07-24,72.73,49089.08,1.0,-0.06818,2024-07-23,2024-08-06,76.85,0.0578,5795.09
MCHP,2024-08-19,80.545,52429.86,1.0,-0.06589,2024-07-23,2025-02-28,57.16,-0.3331,-33850.05
XOM,2024-08-29,117.2,52857.39,1.0,-0.06589,2024-08-27,2024-10-16,120.89,0.0228,2519.82
TSLA,2024-09-09,216.2,51512.91,1.0,-0.06771,2024-08-26,2024-09-23,242.61,0.1144,12083.19
VTRS,2024-10-03,11.39,55834.97,1.0,-0.06747,2024-08-29,2024-11-27,13.08,0.1229,13470.1
NKE,2024-10-16,82.14,56381.98,1.0,-0.06747,2024-09-23,2025-02-03,74.9,-0.1061,-11608.32
PFE,2024-11-26,26.16,58083.11,1.0,-0.06665,2024-10-16,2024-12-27,26.43,-0.047,-5265.14
KO,2024-12-19,62.7,56021.26,1.0,-0.06663,2024-12-18,2025-01-29,62.56,-0.0041,-352.06
CCL,2024-12-27,25.41,56476.81,1.0,-0.06663,2024-12-23,2025-02-04,27.18,0.0463,5332.77
PFE,2025-02-03,26.3,56069.54,1.0,-0.06384,2025-01-28,2025-05-07,22.99,-0.1346,-15133.02
SMCI,2025-02-05,31.03,56784.25,1.0,-0.06384,2025-01-22,2025-02-12,42.3,0.3023,34713.3
NEE,2025-02-12,69.31,60028.58,1.0,-0.06384,2025-01-30,2025-03-13,73.2,0.0358,4341.96
SLB,2025-03-13,40.08,62606.08,1.0,-0.06379,2025-02-12,2025-06-17,36.22,-0.1126,-13697.03
MU,2025-03-14,98.75,63161.32,1.0,-0.06379,2025-03-13,2025-05-06,79.04,-0.1814,-22698.15
VZ,2025-06-27,42.15,61821.35,1.0,-0.06703,2025-03-27,2025-08-25,44.44,0.0253,3300.01
BMY,2025-08-12,46.09,64345.37,1.0,-0.06624,2025-07-15,2025-11-04,45.49,-0.0249,-3026.57
CMCSA,2025-08-15,33.035,66084.24,1.0,-0.06624,2025-07-15,2025-08-27,33.59,-0.0206,-2554.99
CTRA,2025-10-01,23.36,72683.68,1.0,-0.06582,2025-08-27,2025-11-18,25.74,0.0878,12394.03
CAG,2025-10-07,18.77,74960.49,1.0,-0.06582,2025-09-04,,17.31,-0.0888,-12336.62
CRM,2025-10-13,242.89,73038.27,1.0,-0.06582,2025-06-25,2025-10-24,257.42,0.0072,1095.04
PCG,2025-12-02,15.91,74457.06,1.0,-0.06657,2025-11-06,,16.07,-0.0076,-978.57
VICI,2025-12-17,27.9,74352.14,1.0,-0.06657,2025-12-16,,28.12,-0.0057,-698.32
