run,date,equity,n_pos,units,drawn,gross
ONE_BOOK,2021-10-07,544661.83,11,13,121768.68,666430.51
ONE_BOOK,2021-10-08,539118.82,11,13,121776.32,660895.13
ONE_BOOK,2021-10-11,532487.14,11,13,121783.95,654271.09
ONE_BOOK,2021-10-12,529794.69,11,13,121791.59,651586.28
ONE_BOOK,2021-10-13,529968.03,11,13,121799.22,651767.25
ONE_BOOK,2021-10-14,536221.96,11,13,121806.86,658028.82
ONE_BOOK,2021-10-15,535010.41,11,13,121814.5,656824.91
ONE_BOOK,2021-10-18,537454.08,11,13,121822.13,659276.22
ONE_BOOK,2021-10-19,539757.42,11,13,121829.77,661587.2
ONE_BOOK,2021-10-20,545258.7,11,13,121837.41,667096.11
ONE_BOOK,2021-10-21,540664.9,11,13,121845.05,662509.95
ONE_BOOK,2021-10-22,535283.98,11,13,118681.72,653965.7
ONE_BOOK,2021-10-25,535733.01,11,13,118689.16,654422.17
ONE_BOOK,2021-10-26,536852.18,11,13,118696.6,655548.78
ONE_BOOK,2021-10-27,527747.31,11,13,118704.04,646451.36
ONE_BOOK,2021-10-28,534899.86,11,13,118711.49,653611.34
ONE_BOOK,2021-10-29,530043.38,11,13,118718.93,648762.31
ONE_BOOK,2021-11-01,538801.54,10,12,61801.83,600603.38
ONE_BOOK,2021-11-02,536909.6,11,13,115821.91,652731.51
ONE_BOOK,2021-11-03,544547.93,11,13,115829.17,660377.1
ONE_BOOK,2021-11-04,542353.85,11,13,115836.43,658190.29
ONE_BOOK,2021-11-05,555086.92,11,13,115843.7,670930.62
ONE_BOOK,2021-11-08,551844.26,11,13,115850.96,667695.22
ONE_BOOK,2021-11-09,551111.08,9,10,0.0,503465.81
ONE_BOOK,2021-11-10,547336.13,11,13,117100.35,664436.48
ONE_BOOK,2021-11-11,546783.83,10,13,127704.9,674488.72
ONE_BOOK,2021-11-12,548612.54,10,13,124544.01,673156.55
ONE_BOOK,2021-11-15,551721.05,10,13,124551.82,676272.87
ONE_BOOK,2021-11-16,543673.96,10,13,124559.63,668233.59
ONE_BOOK,2021-11-17,537263.86,10,13,129626.53,666890.39
ONE_BOOK,2021-11-18,528030.86,10,13,129634.65,657665.51
ONE_BOOK,2021-11-19,519438.81,10,13,129642.78,649081.6
ONE_BOOK,2021-11-22,522133.3,10,13,129650.91,651784.22
ONE_BOOK,2021-11-23,525285.34,10,13,129659.04,654944.38
ONE_BOOK,2021-11-24,526298.81,10,13,129667.17,655965.98
ONE_BOOK,2021-11-26,514257.29,10,13,129675.3,643932.59
ONE_BOOK,2021-11-29,515083.8,10,13,129683.43,644767.23
ONE_BOOK,2021-11-30,499431.96,10,13,129691.56,629123.52
ONE_BOOK,2021-12-01,492106.48,10,13,129699.69,621806.17
ONE_BOOK,2021-12-02,503871.33,10,13,129707.82,633579.16
ONE_BOOK,2021-12-03,501191.4,10,13,129715.96,630907.36
ONE_BOOK,2021-12-06,511694.84,10,13,129724.09,641418.93
ONE_BOOK,2021-12-07,522215.78,10,13,129732.22,651948.01
ONE_BOOK,2021-12-08,519321.83,10,13,129740.36,649062.19
ONE_BOOK,2021-12-09,515056.73,9,13,123037.25,638093.98
ONE_BOOK,2021-12-10,521295.65,9,13,123044.96,644340.62
ONE_BOOK,2021-12-13,514456.58,9,13,123052.68,637509.26
ONE_BOOK,2021-12-14,515363.06,9,13,123060.39,638423.46
ONE_BOOK,2021-12-15,517079.99,9,13,123068.11,640148.1
ONE_BOOK,2021-12-16,529792.7,9,13,123075.83,652868.52
ONE_BOOK,2021-12-17,525060.24,9,13,123083.54,648143.78
ONE_BOOK,2021-12-20,519873.1,9,13,122353.53,642226.63
ONE_BOOK,2021-12-21,531569.2,9,13,122361.2,653930.4
ONE_BOOK,2021-12-22,533254.83,9,13,122368.87,655623.7
ONE_BOOK,2021-12-23,535528.14,9,13,122376.54,657904.68
ONE_BOOK,2021-12-27,538893.38,9,13,122384.21,661277.6
ONE_BOOK,2021-12-28,536747.18,9,13,122391.89,659139.06
ONE_BOOK,2021-12-29,531926.53,9,13,122685.1,654611.63
ONE_BOOK,2021-12-30,536261.11,9,13,128980.88,665241.99
ONE_BOOK,2021-12-31,530993.29,9,13,126595.44,657588.73
ONE_BOOK,2022-01-03,542669.39,9,13,126603.38,669272.77
ONE_BOOK,2022-01-04,549256.64,9,13,133488.87,682745.51
ONE_BOOK,2022-01-05,544126.95,9,13,133497.24,677624.19
ONE_BOOK,2022-01-06,550164.69,8,11,20893.18,571057.88
ONE_BOOK,2022-01-07,560624.06,8,11,20894.49,581518.55
ONE_BOOK,2022-01-10,557835.57,10,13,133077.21,690912.78
ONE_BOOK,2022-01-11,563374.47,10,13,133085.56,696460.02
ONE_BOOK,2022-01-12,565069.99,10,13,134345.96,699415.95
ONE_BOOK,2022-01-13,564413.64,10,13,134354.38,698768.02
ONE_BOOK,2022-01-14,578142.03,10,13,134362.8,712504.84
ONE_BOOK,2022-01-18,567371.81,10,13,134371.23,701743.03
ONE_BOOK,2022-01-19,561802.13,9,12,77038.22,638840.35
ONE_BOOK,2022-01-20,552949.18,9,12,77043.05,629992.24
ONE_BOOK,2022-01-21,537367.44,8,10,0.0,495766.84
ONE_BOOK,2022-01-24,539704.95,6,7,0.0,331519.53
ONE_BOOK,2022-01-25,539246.19,6,7,0.0,331060.77
ONE_BOOK,2022-01-26,533441.42,7,8,0.0,379672.47
ONE_BOOK,2022-01-27,526626.62,7,9,0.0,426595.25
ONE_BOOK,2022-01-28,540365.23,11,13,102451.59,642816.82
ONE_BOOK,2022-01-31,553488.65,11,14,156240.17,709728.81
ONE_BOOK,2022-02-01,558853.75,11,14,156249.96,715103.71
ONE_BOOK,2022-02-02,557652.89,11,14,156434.89,714087.78
ONE_BOOK,2022-02-03,549377.36,11,14,156444.7,705822.06
ONE_BOOK,2022-02-04,555434.06,11,14,156454.5,711888.57
ONE_BOOK,2022-02-07,558063.18,11,14,156464.31,714527.49
ONE_BOOK,2022-02-08,563152.82,11,14,161015.93,724168.75
ONE_BOOK,2022-02-09,579888.92,11,14,161026.02,740914.94
ONE_BOOK,2022-02-10,570308.87,11,14,161036.12,731344.98
ONE_BOOK,2022-02-11,562121.31,10,13,104685.54,666806.85
